$GPGGA,180000.00,5104.650,N,11408.022,W,1,08,1.0,1110.0,M,,M,,*5E
$GPGGA,180010.00,5104.320,N,11407.800,W,1,08,1.0,1105.0,M,,M,,*5E
$GPGGA,180020.00,5103.850,N,11407.450,W,1,08,1.0,1090.0,M,,M,,*52
$GPGGA,180030.00,5103.150,N,11405.320,W,1,08,1.0,1050.0,M,,M,,*54
$GPGGA,180040.00,5103.100,N,11404.750,W,1,08,1.0,1045.0,M,,M,,*50
$GPGGA,180050.00,5103.240,N,11404.080,W,1,08,1.0,1043.0,M,,M,,*5A
$GPGGA,180100.00,5103.120,N,11404.100,W,1,08,1.0,1045.0,M,,M,,*54
$GPGGA,180110.00,5103.100,N,11403.750,W,1,08,1.0,1045.0,M,,M,,*53
$GPGGA,180120.00,5102.658,N,11403.786,W,1,08,1.0,1046.0,M,,M,,*53
$GPGGA,180130.00,5102.450,N,11403.150,W,1,08,1.0,1044.0,M,,M,,*57
